"pitcher","pos","IP/App","FB%","MPH","DIFF","AGG","WHIFF%","appearances"
"A.J. Ramos","RP",0.940096618357488,0.53675845410628,92.4168799559127,10.4639592290992,0.167791525762535,0.308299516908213,207
"A.J. Schugel","RP",1.66,0.6414,91.5634600182426,13.001156096674,0.159463560075166,0.1538,5
"Akeel Morris","RP",0.2,0.68,92.6941176470588,16.0066176470588,0.16,0.125,1
"Al Alburquerque","RP",0.717587939698492,0.375130653266332,93.4822337298901,8.0806769435148,0.18214607472137,0.297959390862944,199
"Alberto Cabrera","RP",0.642857142857143,0.633857142857143,92.9242047426258,9.76951859543966,0.181468041762159,0.279857142857143,7
"Alberto Gonzalez","RP",0.0999999999999996,0,NA,0,0.2,0,1
"Alec Asher","SP",3.71428571428571,0.611857142857143,91.2627625575046,7.35033341918256,0.159270070865211,0.154428571428571,7
"Alex Burnett","RP",0.7,0.733,90.3511982570806,7.43680431768666,0.26978021978022,0.103333333333333,3
"Alex Claudio","RP",0.757575757575757,0.409212121212121,84.1424543163709,10.7048419616203,0.207279557175532,0.254757575757576,33
"Alex Cobb","SP",6.11372549019608,0.427647058823529,91.3640668688157,7.42015393135523,0.139170146252722,0.221058823529412,51
"Alex Colome","RP",1.315625,0.80465625,91.9147170800912,7.8119513153899,0.163008379750828,0.35778125,32
"Alex Colome","SP",5.23684210526316,0.790210526315789,92.0202219860816,9.09172923894133,0.176513503777081,0.192157894736842,19
"Alexei Ramirez","RP",1,0.536,88.94,10.4938461538461,0.0357142857142857,0.056,1
"Alexi Amarista","RP",0.0999999999999996,0,NA,0,0,0,1
"Alexi Ogando","RP",0.882291666666666,0.676041666666667,94.1559858775434,8.77198615305346,0.162962535779461,0.21515625,96
"Alexi Ogando","SP",5.23888888888889,0.530055555555556,93.3463812689897,11.1931888492449,0.196148038600019,0.177944444444444,18
"Alex Meyer","RP",1.45,0.752,95.5863636363636,10.4926136363636,0.164285714285714,0.107,2
"Alex Sanabia","SP",5.44,0.5255,89.577325017134,7.60637308224386,0.14834566402995,0.2091,10
"Alex Torres","RP",0.860264900662252,0.688331125827815,91.5976712645374,7.55993326066414,0.150204486267339,0.280210884353741,151
"Alex Wilson","RP",1.00980392156863,0.556313725490196,92.4496031592077,6.87195629178576,0.152230193581416,0.157316831683168,102
"Alex Wilson","SP",3,0.651,91.8642857142857,5.16428571428571,0.186046511627907,0.053,1
"Alex Wood","RP",1.12941176470588,0.600764705882353,92.4462846478612,9.86981864428409,0.240362328445485,0.230176470588235,34
"Alex Wood","SP",5.82835820895522,0.622701492537313,89.5624829173511,8.54657878710562,0.16986118236497,0.195106060606061,67
"Alfredo Aceves","RP",1.73333333333333,0.621733333333333,92.0449202898551,8.62911078300097,0.195706423206423,0.1862,15
"Alfredo Aceves","SP",5.01666666666667,0.59,90.8193470257152,7.38530547003036,0.181632672191044,0.146666666666667,6
"Alfredo Figaro","RP",1.61470588235294,0.701676470588235,95.0302113574762,12.5870098617866,0.201139177493489,0.152764705882353,34
"Alfredo Figaro","SP",4.86,0.5976,95.2377748917749,13.5013405300084,0.18758551789094,0.166,5
"Alfredo Simon","RP",1.2625,0.7526875,93.1672897722947,12.7690149053991,0.190436750766685,0.18078125,64
"Alfredo Simon","SP",5.9,0.641634920634921,92.4257554198913,10.512806263285,0.172643364704681,0.169968253968254,63
"Allen Webster","RP",1.6,0.6442,92.7255070028011,7.13679271708683,0.152289334789335,0.2338,5
"Allen Webster","SP",4.62173913043478,0.611304347826087,92.3996281582371,8.69907636758029,0.17108244475138,0.244130434782609,23
"Andre Rienzo","RP",1.18095238095238,0.820047619047619,89.4618410144493,10.7817924796508,0.141457109132179,0.167380952380952,21
"Andre Rienzo","SP",5.25238095238095,0.731666666666667,88.9313795921401,9.80615270638657,0.172565768826907,0.186714285714286,21
"Andrew Albers","RP",2.9,0.371,85.4846153846154,12.5891608391608,0.228571428571429,0.083,1
"Andrew Albers","SP",5.71,0.6687,86.098447528348,10.027477945275,0.21771929364732,0.1382,10
"Andrew Bailey","RP",0.8325,0.89525,91.1049041961361,12.5629687122652,0.181881162406994,0.276525,40
"Andrew Bellatti","RP",1.17647058823529,0.590588235294118,92.4218131867326,9.82762263222138,0.153781713264464,0.195470588235294,17
"Andrew Cashner","RP",1.52,0.6542,95.7326057845663,9.60499214820268,0.141361872422993,0.2396,5
"Andrew Cashner","SP",6.15131578947368,0.664118421052632,94.5251987743827,10.4551177725779,0.181597843784948,0.174552631578947,76
"Andrew Chafin","RP",0.993939393939394,0.679515151515152,92.4247560190456,10.759276641792,0.14918590366151,0.186515151515152,66
"Andrew Chafin","SP",4.4,0.691666666666667,90.6323831658919,10.1858777895478,0.206413032607609,0.159,3
"Andrew Faulkner","RP",0.772727272727273,0.625090909090909,93.2560119426029,9.4717586958496,0.176963692872784,0.235272727272727,11
"Andrew Heaney","RP",2.45,0.687,91.3715909090909,11.8340909090909,0.267379679144385,0.1275,2
"Andrew Heaney","SP",5.5304347826087,0.633173913043478,91.0655670403142,10.1162087242463,0.161829982993375,0.18404347826087,23
"Andrew McKirahan","RP",0.788888888888889,0.737148148148148,93.2104395979758,10.2464195841732,0.182224948136497,0.163,27
"Andrew Miller","RP",0.858285714285714,0.537948571428571,94.2012466256899,9.99655206509954,0.188713067382773,0.36904,175
"Andrew Romine","RP",1,0.593,87.00625,5.97897727272726,0.111111111111111,0.143,1
"Andy Pettitte","SP",5.98,0.5529,88.6575123993362,8.72205720753281,0.171703948976326,0.178866666666667,30
